author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/302837201/;Московская Область;sale;flat;2;6;4;83.5;15364000;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;56,9 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
ID 491536;homeowner;https://khimki.cian.ru/sale/flat/300081467/;Московская Область;sale;flat;6;8;4;109.0;40000000;2014;-1;-1;-1;-1;77 м²;9 м²;+79660591889;; Заречная;7к2;Молжаниново;
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/305886089/;Московская Область;sale;flat;24;25;4;101.0;18230904;2023;-1;Панельный, монолитный;-1;Предчистовая, чистовая;62,1 м²;14,4 м²;+74951377003;; Рождественская;8;Люберцы;1-й Лермонтовский
Penny Lane Moscow;real_estate_agent;https://odintsovo.cian.ru/sale/flat/306063098/;Московская Область;sale;flat;3;4;4;243.0;42500000;1997;-1;-1;-1;-1;119 м²;31 м²;+79660588721;д. Сколково;Новая ;10;;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/285450505/;Московская Область;sale;flat;3;6;4;70.6;15390800;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;46,8 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
Самолет Плюс МСК-Север;real_estate_agent;https://odintsovo.cian.ru/sale/flat/306655881/;Московская Область;sale;flat;5;7;4;150.4;43000000;-1;-1;-1;-1;-1;119 м²;17,8 м²;+79652557357;;;;;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/302837486/;Московская Область;sale;flat;5;6;4;82.9;18072200;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;56,9 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
BRIGHT ESTATE - загородная недвижимость;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/301955861/;Московская Область;sale;flat;4;4;4;144.6;110000000;-1;-1;-1;-1;-1;-1;20 м²;+79660583513;; Согласия;4/2;Мякинино;Парк Рублево
IKON Development;developer;https://odintsovo.cian.ru/sale/flat/306541174/;Московская Область;sale;flat;9;9;4;117.6;49397292;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;79,7 м²;7,4 м²;+74951387367;;;;;Skolkovo ONE
Moscow Estate Group;real_estate_agent;https://odintsovo.cian.ru/sale/flat/306605118/;Московская Область;sale;flat;2;4;4;220.0;120000000;2011;-1;-1;-1;-1;-1;14 м²;+79660478031;Заречье рп;Тихая ;22;;
ФСК;developer;https://vidnoye.cian.ru/sale/flat/300029333/;Московская Область;sale;flat;15;15;4;88.1;18641960;2024;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;53,6 м²;7,1 м²;+74951377570;;;;;Римский
Желтый квадрат;real_estate_agent;https://www.cian.ru/sale/flat/308140989/;Московская Область;sale;flat;3;5;4;61.4;3250000;1982;-1;-1;-1;-1;45,4 м²;-1;+79647741104;с. Константиново; Октябрьская;10;;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/293544875/;Московская Область;sale;flat;2;6;4;72.2;13284800;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;45,2 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
Мария Бонами;realtor;https://chekhov.cian.ru/sale/flat/298944156/;Московская Область;sale;flat;5;5;4;61.0;4500000;1967;-1;-1;-1;-1;-1;7,5 м²;+79653078267;Столбовая рп; Школьная;7;;
INGRAD;developer;https://vidnoye.cian.ru/sale/flat/308011433/;Московская Область;sale;flat;17;17;4;89.6;19474173;2024;-1;Монолитный;-1;Без отделки;-1;7,7 м²;+74951387110;пос. Развилка;проезд Проектируемый № 5539;;;Миловидное
МИЭЛЬ офис В Солнечногорске;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/297665858/;Московская Область;sale;flat;5;5;4;75.0;5900000;-1;-1;-1;-1;-1;56,6 м²;7 м²;+79197694657;;;;;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/301555988/;Московская Область;sale;flat;6;6;4;107.4;22869756;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;55,9 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
